distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	457	2	27255	29.82
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	465	2	27255	29.31
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	473	2	27255	28.81
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	479	2	27255	28.45
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	491	2	27255	27.75
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	505	2	27255	26.99
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	511	2	27255	26.67
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	519	2	27255	26.26
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	531	2	27255	25.66
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	542	2	27255	25.14
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	548	2	27255	24.87
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	556	2	27255	24.51
