distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	75	901	1066	27255	2.13
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	78	924	1066	27255	2.16
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	79	946	1066	27255	2.14
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	79	960	1066	27255	2.1
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	79	985	1066	27255	2.05
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	79	1006	1066	27255	2.01
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	79	1027	1066	27255	1.97
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	80	1048	1066	27255	1.95
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	82	1066	1066	27255	1.97
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	84	1086	1066	27255	1.98
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	87	1108	1066	27255	2.01
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	87	1124	1066	27255	1.98
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	88	1146	1066	27255	1.96
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	91	1166	1066	27255	2
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	93	1181	1066	27255	2.01
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	95	1208	1066	27255	2.01
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	97	1220	1066	27255	2.03
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	97	1237	1066	27255	2
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	98	1251	1066	27255	2
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	99	1271	1066	27255	1.99
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	100	1293	1066	27255	1.98
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	101	1312	1066	27255	1.97
