distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	86	1649	1240	27255	1.15
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	89	1688	1240	27255	1.16
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	89	1724	1240	27255	1.13
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	91	1756	1240	27255	1.14
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	96	1800	1240	27255	1.17
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	96	1832	1240	27255	1.15
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	98	1859	1240	27255	1.16
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	100	1894	1240	27255	1.16
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	101	1946	1240	27255	1.14
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	102	1989	1240	27255	1.13
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	106	2028	1240	27255	1.15
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	108	2065	1240	27255	1.15
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	113	2104	1240	27255	1.18
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	114	2150	1240	27255	1.17
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Osteocyte_signature	eBMD	118	2188	1240	27255	1.19
